NUI;'2022-JUL';'2022-AUG';'2022-SEP';'2022-OCT';'2022-NOV';'2022-DEC';'2023-JAN';'2023-FEB';'2023-MAR';'2023-APR';'2023-MAY';'2023-JUN';'2023-JUL';'2023-AUG';'2023-SEP';'2023-OCT';'2023-NOV';'2023-DEC'
350306;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;
350314;;;;;;;;;;;;;;;;;PARA REVISION;
350316;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;
350324;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;MAL REPORTADO EN TC2;;
350326;;;;;MAL REPORTADO EN TC2;;;;;;;;;;MAL REPORTADO EN TC2;;PARA REVISION;
350366;;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;;;;;PARA REVISION;;
350416;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
350426;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;
350480;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;
350488;;;;;;;;;;;;;;;PARA REVISION;;;
350492;24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];
350496;;;;;;;;;;;;;;;;;;
350506;;;;;;;;;;;;;13 [13-MEDIDOR VOLTEADO O DESCOLG];;;;;
350524;;;;;;;;;;;;;;;;;;
350528;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;;;
350536;;;;;99 [99-LECTURA CONFIRMADA];;;;;;;;;;;;;
350544;;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;16 [16-MEDIDOR DANADO];;;
350574;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;
350618;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;
350650;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;
350688;;;;;;;;;;;;;;;;;PARA REVISION;
350744;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;
350760;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;
350866;;;;;99 [99-LECTURA CONFIRMADA];;;MAL REPORTADO EN TC2;;;;;;;;;;
350872;;;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;
350880;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;
350886;;;;;MAL REPORTADO EN TC2;;MAL REPORTADO EN TC2;;;;;;;;;;;
350902;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;
350904;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;
363782;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;21 [21-MEDIDOR DESCONECT SIN SERV];;;;;21 [21-MEDIDOR DESCONECT SIN SERV];;;
363996;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;21 [21-MEDIDOR DESCONECT SIN SERV];;;;;21 [21-MEDIDOR DESCONECT SIN SERV];;;
364152;;21 [21-MEDIDOR DESCONECT SIN SERV];;;;21 [21-MEDIDOR DESCONECT SIN SERV];;;;21 [21-MEDIDOR DESCONECT SIN SERV];;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;
364180;;;;;;;;;;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;
364212;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;;;;;;;;;
365114;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;;;;
365418;;;;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;
365528;;;;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;
365872;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;
365898;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;
366072;;;;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;
366332;;;;;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;;;;
366728;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;10 [10-MEDIDOR INEXISTENTE O DESC];;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;
370100;;;;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;
370312;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;
371176;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;
373344;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;
373416;;;;;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;;;;
373524;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;;;;;;;;;
374122;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;;;;
375064;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;
375072;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;
376372;;PARA REVISION;;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;
377638;;10 [10-MEDIDOR INEXISTENTE O DESC];;;;;;;;;;;;;;;;
377704;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;;;;;
377854;;10 [10-MEDIDOR INEXISTENTE O DESC];;;;21 [21-MEDIDOR DESCONECT SIN SERV];;;;;;;;;;;;
378136;;;;;;10 [10-MEDIDOR INEXISTENTE O DESC];;;;10 [10-MEDIDOR INEXISTENTE O DESC];;;;;;;;
379872;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;;
386760;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;;;;;
396490;;;;MAL REPORTADO EN TC2;PARA REVISION;;;;;;;;;;;;;
396558;;;;;;;;;;;;;;;;;;
396562;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;
396570;;;;;;;;PARA REVISION;;SIN DESVIACION SIGNIFICATIVA;8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU]
396580;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;
396590;;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2
396594;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
396616;;;PARA REVISION;;;;;;;;;;;;;;;
396638;99 [99-LECTURA CONFIRMADA];;;;;;;;;;;;;;;;;
396646;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;
396690;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;
396692;16 [16-MEDIDOR DANADO];;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;;;;;MAL REPORTADO EN TC2;;;;;;;
396724;;;;;;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA
396738;;;;;;;;;;;;;;;;;;
396740;;;;;;;;;;;PARA REVISION;;;;;;;
396742;;;;;;;;MAL REPORTADO EN TC2;MAL REPORTADO EN TC2;;;;;;;;;
396782;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;
397292;;;;;;;;;;;;;;;;;;
397304;;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2
397320;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
397348;;;;;;;24 [24-SERV SUSPENDIDO SIN MEDIDO];;;;;;;;;;;
397360;;;;;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;;;;;;;;;;;
397392;;;;;;;;;99 [99-LECTURA CONFIRMADA];;;;;;;;;
397394;;;;;;;;;;;99 [99-LECTURA CONFIRMADA];SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;99 [99-LECTURA CONFIRMADA];;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;
397398;;;;;;;;;;;;;;99 [99-LECTURA CONFIRMADA];;;;SIN DESVIACION SIGNIFICATIVA
397400;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;;;;
397430;;;;;;;;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;;;;;;;;
397432;;;;;99 [99-LECTURA CONFIRMADA];;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;MAL REPORTADO EN TC2;;;;;;;
397466;;;;;;;99 [99-LECTURA CONFIRMADA];MAL REPORTADO EN TC2;;;;;;;;;;
397472;;;;;;;;;;;;PARA REVISION;;;;;;
397492;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;;;;;
397548;99 [99-LECTURA CONFIRMADA];;;;;;;;;;;;;;;;;
397556;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;;;
398070;;;PARA REVISION;;;;;;;;;;;;;;;
398212;99 [99-LECTURA CONFIRMADA];;;;;;;;;;;;;;;;;
398232;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;
398736;;;;;;;;;;;PARA REVISION;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;;;;;
398742;PARA REVISION;;;;;;MAL REPORTADO EN TC2;;;;PARA REVISION;;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;
398756;;;;;;21 [21-MEDIDOR DESCONECT SIN SERV];;;;;;;;;;;;
398796;;;;;16 [16-MEDIDOR DANADO];;;;;;;;;;;;;
398802;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;PARA REVISION
398822;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU]
398852;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;
398936;;;;;21 [21-MEDIDOR DESCONECT SIN SERV];;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;16 [16-MEDIDOR DANADO];;;;;;;;;
398938;;;;;;;;;;;;;;;;;;
398940;;;;;;;;;;;;;;;;;;
398942;;;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;
398948;;;;;;;;;;;;;;;;;;
398950;PARA REVISION;;;;MAL REPORTADO EN TC2;;;;MAL REPORTADO EN TC2;;;;;;;MAL REPORTADO EN TC2;MAL REPORTADO EN TC2;
398954;;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;;
398958;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;MAL REPORTADO EN TC2;MAL REPORTADO EN TC2;
398962;;;;;;;;;;;;;;;;;;
398966;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;
398974;;;;;;;;;;;;PARA REVISION;;;;;;PARA REVISION
398978;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;;MAL REPORTADO EN TC2;
399020;21 [21-MEDIDOR DESCONECT SIN SERV];;24 [24-SERV SUSPENDIDO SIN MEDIDO];;;;;;;;;;;;;;;
399150;;;;;;;;;;;;;;MAL REPORTADO EN TC2;MAL REPORTADO EN TC2;;;
399164;;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;;
399168;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;
399706;;;;;;;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;8 [8-PREDIO DESOCUPADO SIN LECTU];;;
399780;;;;;;;;;16 [16-MEDIDOR DANADO];;;;;;;;;
399854;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
399882;19 [19-REGISTRADOR NO VISIBLE];;;;;;;;;;;;;;;;;
399906;;;;;;;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA
399918;;;;;;;;;;;99 [99-LECTURA CONFIRMADA];;;;;;;SIN DESVIACION SIGNIFICATIVA
399924;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;;;
399926;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;
399928;;;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];99 [99-LECTURA CONFIRMADA];;;;;;;;;;;;;
399950;MAL REPORTADO EN TC2;;;;;;MAL REPORTADO EN TC2;;32 [32-NO HAY ACCESO AL MEDIDOR];;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA
399960;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;
399972;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;;;;;;
399984;;;;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA];;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;;;;
399990;;;;;;;SIN DESVIACION SIGNIFICATIVA;10 [10-MEDIDOR INEXISTENTE O DESC];;;;;;;;;;
399994;;;;;;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA
400016;;;;;;;;;;;PARA REVISION;;;;;;;
400018;;;;;;PARA REVISION;MAL REPORTADO EN TC2;;;;;;;;;;;
400020;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;
400024;;;;;;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;99 [99-LECTURA CONFIRMADA]
400184;;;;;;;;;MAL REPORTADO EN TC2;;MAL REPORTADO EN TC2;;;;;;;
400206;;;21 [21-MEDIDOR DESCONECT SIN SERV];;;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;;;;;;;;21 [21-MEDIDOR DESCONECT SIN SERV]
400304;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;
400312;;;;;;;MAL REPORTADO EN TC2;MAL REPORTADO EN TC2;;;;;;;;;;
400542;;;;;;;;;;;16 [16-MEDIDOR DANADO];;;;;;;
400568;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;
400680;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;;
400690;;;;;;;;;;;;MAL REPORTADO EN TC2;MAL REPORTADO EN TC2;MAL REPORTADO EN TC2;;;;
400704;;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;;;;
400710;;;;;;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;PARA REVISION
400732;;;;;;;;;;;;;MAL REPORTADO EN TC2;PARA REVISION;;;;
400788;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;;;
400798;MAL REPORTADO EN TC2;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;32 [32-NO HAY ACCESO AL MEDIDOR];;MAL REPORTADO EN TC2;;
400822;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;MAL REPORTADO EN TC2;;MAL REPORTADO EN TC2;;
400838;;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;
400854;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;
400980;;;;;;;;;;;PARA REVISION;;;;;;;
400982;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;
401066;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;
401072;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;
401094;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;
401130;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
401994;;;;;;;;;;;;;;;;;;
402014;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;
402026;;;;;PARA REVISION;;;;;;;;;;;;;
402032;;;;;PARA REVISION;;;;;;;;;;;;;
402058;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;;;
402088;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
402142;;;;;;;;;;;;;;;;;PARA REVISION;
402210;;;;;;;;;;;;;;;;PARA REVISION;;
402242;;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2
402248;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;PARA REVISION;;
402260;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;
402886;;;;;;;;;;;PARA REVISION;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;SIN DESVIACION SIGNIFICATIVA
402928;99 [99-LECTURA CONFIRMADA];;PARA REVISION;;;;;PARA REVISION;;;;;;;;;;
402954;;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2
403000;;;;;;;;;;;;;;;;;;
403096;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;;;;;
403236;MAL REPORTADO EN TC2;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;
403244;;;;;;;;;;;;;;PARA REVISION;;;;
403250;;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2
403296;;;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;MAL REPORTADO EN TC2
403548;32 [32-NO HAY ACCESO AL MEDIDOR];MAL REPORTADO EN TC2;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;
403914;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;
403916;;;;;;;;;;24 [24-SERV SUSPENDIDO SIN MEDIDO];;;;;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;PARA REVISION;PARA REVISION
403920;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;
403938;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;PARA REVISION;
403940;;;;;;;;;;;;;MAL REPORTADO EN TC2;MAL REPORTADO EN TC2;;;;
403996;;;8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];8 [8-PREDIO DESOCUPADO SIN LECTU];;8 [8-PREDIO DESOCUPADO SIN LECTU];;;;;;;
404016;;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;;
404018;21 [21-MEDIDOR DESCONECT SIN SERV];;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];24 [24-SERV SUSPENDIDO SIN MEDIDO];21 [21-MEDIDOR DESCONECT SIN SERV];
404040;;;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;
404062;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;;
404080;MAL REPORTADO EN TC2;;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;
404106;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;
404110;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
404114;;;PARA REVISION;;;;;;;;;;;;;;;
404130;;;MAL REPORTADO EN TC2;;;;;;;;;;MAL REPORTADO EN TC2;;;;;
404162;;;;;;;;;;;;;;;;;;
404180;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;
404240;;;;;;;;;;;;PARA REVISION;;;;;;
404274;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;4 [4-PREDIO - DEMOLIDO O ABAND];;4 [4-PREDIO - DEMOLIDO O ABAND];;
404378;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;;;;;
404600;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;;;;;
404734;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;
404750;;;PARA REVISION;;;;;;;;;;;;;;;
404836;;;;;;;;;;;;;;;;;16 [16-MEDIDOR DANADO];
404842;;;;;;;32 [32-NO HAY ACCESO AL MEDIDOR];MAL REPORTADO EN TC2;;;;;;;;;;
404844;;;99 [99-LECTURA CONFIRMADA];MAL REPORTADO EN TC2;;;;;;;;;;;;;;
405124;;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2
405130;;;MAL REPORTADO EN TC2;;21 [21-MEDIDOR DESCONECT SIN SERV];;;;;;;;;;;;;
405184;;;;;SIN DESVIACION SIGNIFICATIVA;11 [11-MEDIDOR NO REGISTRADO];;;;;;;;;;;;
405204;PARA REVISION;MAL REPORTADO EN TC2;;MAL REPORTADO EN TC2;;;;;;;;MAL REPORTADO EN TC2;;;;;;
405206;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
405226;;;;;;;;;;;PARA REVISION;PARA REVISION;23 [23-SERV SUSPENDIDO CON MEDIDO];;;;;
405234;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;;;;;;;;;;;;;;;10 [10-MEDIDOR INEXISTENTE O DESC]
405244;;;;;;;MAL REPORTADO EN TC2;MAL REPORTADO EN TC2;;;;;;;;;;
405278;;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;
405586;;;;;;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;;;;;;;;;;;
405598;;;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;
405602;;;;;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;
405604;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;;
405618;;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;
405638;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;
405650;24 [24-SERV SUSPENDIDO SIN MEDIDO];;;;;;;;;;;;;;;;;
405802;;;;;;;;;;;MAL REPORTADO EN TC2;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;MAL REPORTADO EN TC2;;
405806;99 [99-LECTURA CONFIRMADA];;;;;;;;;;;;;;;;;
405826;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;;;
405832;;;;;;;;;;;;;;99 [99-LECTURA CONFIRMADA];;;;
405834;;;;;;;;;;;;;99 [99-LECTURA CONFIRMADA];99 [99-LECTURA CONFIRMADA];;;;
405912;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;4 [4-PREDIO - DEMOLIDO O ABAND];;;;;;;;
406020;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;
406032;;;;;16 [16-MEDIDOR DANADO];;SIN DESVIACION SIGNIFICATIVA;PARA REVISION;8 [8-PREDIO DESOCUPADO SIN LECTU];;21 [21-MEDIDOR DESCONECT SIN SERV];24 [24-SERV SUSPENDIDO SIN MEDIDO];8 [8-PREDIO DESOCUPADO SIN LECTU];24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO]
406038;;;;;;;;;;;;;PARA REVISION;;;;;
406042;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;16 [16-MEDIDOR DANADO];;;;;;;;;;;;;;;
406080;;;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;
406084;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;
406148;;;;;;;;MAL REPORTADO EN TC2;;;;;;;;;;
406226;;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;
406230;;;;;;;;;;;;;;;;;;
406236;;;;;;;;;;;;;16 [16-MEDIDOR DANADO];;;;;
406770;;;;;10 [10-MEDIDOR INEXISTENTE O DESC];;;;;;;;;;;;;
406772;PARA REVISION;;;;;;;;;;MAL REPORTADO EN TC2;;;;;;;
406776;;;;;;;PARA REVISION;;MAL REPORTADO EN TC2;;;MAL REPORTADO EN TC2;;MAL REPORTADO EN TC2;;MAL REPORTADO EN TC2;;
406836;;;;;;;;;;;;;MAL REPORTADO EN TC2;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2;;;
406846;;;;;;;;;;;;;;MAL REPORTADO EN TC2;;;;
406868;;;;;99 [99-LECTURA CONFIRMADA];;;;;;;;;;;;;
