NUI;'2022-JUL';'2022-AUG';'2022-SEP';'2022-OCT';'2022-NOV';'2022-DEC';'2023-JAN';'2023-FEB';'2023-MAR';'2023-APR';'2023-MAY';'2023-JUN';'2023-JUL';'2023-AUG';'2023-SEP';'2023-OCT';'2023-NOV';'2023-DEC'
101232;;;;11 [11-MEDIDOR NO REGISTRADO];;;;;;;;;;;;;;
101242;;;;;;;;;;;;;;24 [24-SERV SUSPENDIDO SIN MEDIDO];;;;
101260;;;21 [21-MEDIDOR DESCONECT SIN SERV];;;;;;;;;;;;;;;
101368;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;
101378;;;;;;;;;;;;;;;;;;
101406;;;;;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;;;;;;;;;;
101450;MAL REPORTADO EN TC2;;;;;;;;;;;;;;;;;
101464;;;;SIN DESVIACION SIGNIFICATIVA;16 [16-MEDIDOR DANADO];;;;;;;;;;;;;
101484;;;;;;;;;;;;;;;;SIN DESVIACION SIGNIFICATIVA;SIN DESVIACION SIGNIFICATIVA;MAL REPORTADO EN TC2
101490;;;;;21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];21 [21-MEDIDOR DESCONECT SIN SERV];;24 [24-SERV SUSPENDIDO SIN MEDIDO];;;;;;;;;
101502;;;;21 [21-MEDIDOR DESCONECT SIN SERV];;;;;;;;;;;;;;
101526;;;;;4 [4-PREDIO - DEMOLIDO O ABAND];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO]
101548;24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];24 [24-SERV SUSPENDIDO SIN MEDIDO];;;;;
101566;;;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;
101572;;;;;;;;PARA REVISION;;;;;;;;;;
101586;;;;MAL REPORTADO EN TC2;;;;;;;;;;;;;;
101606;;;;;;;;;;;;;;;;;;
101610;;;;;;;;;;;;;;;PARA REVISION;;;
101654;;;;;MAL REPORTADO EN TC2;;;;;;MAL REPORTADO EN TC2;;;;;;;
