NUI,year,mes,Value,ValueNum,Month
167346,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
167512,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
167646,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
167690,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
167950,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
168060,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
168470,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
168630,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
168812,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
169052,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
169218,2022,JUL,16 [16-MEDIDOR DANADO],16,7
177452,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
177606,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
177652,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
177686,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
177718,2022,JUL,7 [7-EXTREMADAMENTE ALTO],7,7
177754,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
177762,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
177860,2022,JUL,7 [7-EXTREMADAMENTE ALTO],7,7
178214,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
178586,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
178594,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
178616,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
180942,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
181170,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
181256,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
181494,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
181606,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
181690,2022,JUL,18 [18-DISPLAY APAGADO O DESPROGRA],18,7
181922,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
182044,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
182270,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
182298,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
182344,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
182486,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
182554,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
182596,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
182746,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
183098,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
183132,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
183244,2022,JUL,18 [18-DISPLAY APAGADO O DESPROGRA],18,7
183462,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
183664,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
183798,2022,JUL,18 [18-DISPLAY APAGADO O DESPROGRA],18,7
183838,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
183886,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
184322,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
184398,2022,JUL,7 [7-EXTREMADAMENTE ALTO],7,7
184630,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
184670,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
184706,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
184888,2022,JUL,16 [16-MEDIDOR DANADO],16,7
184922,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
184994,2022,JUL,18 [18-DISPLAY APAGADO O DESPROGRA],18,7
185092,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
185170,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
185310,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
185412,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
185414,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
185478,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
185534,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
186768,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
186782,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
190860,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
190976,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
191212,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
192168,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
192254,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
192422,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
197542,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
197546,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
199910,2022,JUL,16 [16-MEDIDOR DANADO],16,7
199982,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
202042,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
202170,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
203788,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
203852,2022,JUL,16 [16-MEDIDOR DANADO],16,7
205090,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
205992,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
206610,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
209170,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
209682,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
209890,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
209896,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
210120,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
210318,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
210682,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
210766,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
210792,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
210796,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
210798,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
214420,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
214918,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
215424,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
216446,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
219100,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
219682,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
220096,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
220194,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
221100,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
331450,2022,JUL,16 [16-MEDIDOR DANADO],16,7
331690,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
332816,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
333812,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
337354,2022,JUL,13 [13-MEDIDOR VOLTEADO O DESCOLG],13,7
347070,2022,JUL,16 [16-MEDIDOR DANADO],16,7
347844,2022,JUL,16 [16-MEDIDOR DANADO],16,7
396692,2022,JUL,16 [16-MEDIDOR DANADO],16,7
399020,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
399882,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
403548,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
404018,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
405234,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
406970,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
407290,2022,JUL,10 [10-MEDIDOR INEXISTENTE O DESC],10,7
411016,2022,JUL,7 [7-EXTREMADAMENTE ALTO],7,7
414484,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
414486,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
414490,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
414500,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
414522,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
414524,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
414536,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
414540,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
416336,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
416906,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
419688,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
435874,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
443868,2022,JUL,16 [16-MEDIDOR DANADO],16,7
444634,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
444658,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
444664,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
449496,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
449592,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
449892,2022,JUL,19 [19-REGISTRADOR NO VISIBLE],19,7
451718,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
453518,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
454984,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
457854,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
457942,2022,JUL,11 [11-MEDIDOR NO REGISTRADO],11,7
457976,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
462106,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
464216,2022,JUL,21 [21-MEDIDOR DESCONECT SIN SERV],21,7
466246,2022,JUL,32 [32-NO HAY ACCESO AL MEDIDOR],32,7
