NUI,Date,Value
114440,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
114524,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
114734,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
114852,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
115006,'2022-JUL',4 [4-PREDIO - DEMOLIDO O ABAND]
115012,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
115022,'2022-JUL',MAL REPORTADO EN TC2
115056,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
115064,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
115066,'2022-JUL',PARA REVISION
115074,'2022-JUL',PARA REVISION
115504,'2022-JUL',MAL REPORTADO EN TC2
115506,'2022-JUL',PARA REVISION
115508,'2022-JUL',PARA REVISION
115664,'2022-JUL',MAL REPORTADO EN TC2
115696,'2022-JUL',8 [8-PREDIO DESOCUPADO SIN LECTU]
115768,'2022-JUL',99 [99-LECTURA CONFIRMADA]
116164,'2022-JUL',8 [8-PREDIO DESOCUPADO SIN LECTU]
116178,'2022-JUL',PARA REVISION
116360,'2022-JUL',MAL REPORTADO EN TC2
116586,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
116726,'2022-JUL',SIN DESVIACION SIGNIFICATIVA
116756,'2022-JUL',99 [99-LECTURA CONFIRMADA]
116900,'2022-JUL',PARA REVISION
116990,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
117078,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
117342,'2022-JUL',MAL REPORTADO EN TC2
117402,'2022-JUL',SIN DESVIACION SIGNIFICATIVA
117672,'2022-JUL',99 [99-LECTURA CONFIRMADA]
117680,'2022-JUL',SIN DESVIACION SIGNIFICATIVA
118122,'2022-JUL',11 [11-MEDIDOR NO REGISTRADO]
118450,'2022-JUL',99 [99-LECTURA CONFIRMADA]
118458,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
118518,'2022-JUL',16 [16-MEDIDOR DANADO]
118730,'2022-JUL',16 [16-MEDIDOR DANADO]
118760,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
118856,'2022-JUL',MAL REPORTADO EN TC2
118868,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
118880,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
119082,'2022-JUL',4 [4-PREDIO - DEMOLIDO O ABAND]
119226,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
119392,'2022-JUL',MAL REPORTADO EN TC2
119442,'2022-JUL',MAL REPORTADO EN TC2
119710,'2022-JUL',PARA REVISION
119716,'2022-JUL',MAL REPORTADO EN TC2
119928,'2022-JUL',MAL REPORTADO EN TC2
120426,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
121034,'2022-JUL',PARA REVISION
121508,'2022-JUL',MAL REPORTADO EN TC2
121854,'2022-JUL',MAL REPORTADO EN TC2
121976,'2022-JUL',MAL REPORTADO EN TC2
122214,'2022-JUL',SIN DESVIACION SIGNIFICATIVA
123304,'2022-JUL',99 [99-LECTURA CONFIRMADA]
123514,'2022-JUL',99 [99-LECTURA CONFIRMADA]
123738,'2022-JUL',SIN DESVIACION SIGNIFICATIVA
123892,'2022-JUL',MAL REPORTADO EN TC2
124002,'2022-JUL',MAL REPORTADO EN TC2
124046,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
124970,'2022-JUL',MAL REPORTADO EN TC2
125242,'2022-JUL',4 [4-PREDIO - DEMOLIDO O ABAND]
125456,'2022-JUL',MAL REPORTADO EN TC2
125664,'2022-JUL',MAL REPORTADO EN TC2
125810,'2022-JUL',PARA REVISION
125824,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
125956,'2022-JUL',MAL REPORTADO EN TC2
126056,'2022-JUL',MAL REPORTADO EN TC2
126070,'2022-JUL',MAL REPORTADO EN TC2
126424,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
126870,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
127044,'2022-JUL',MAL REPORTADO EN TC2
127800,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
128998,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
129282,'2022-JUL',MAL REPORTADO EN TC2
129326,'2022-JUL',8 [8-PREDIO DESOCUPADO SIN LECTU]
129354,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
129446,'2022-JUL',8 [8-PREDIO DESOCUPADO SIN LECTU]
129544,'2022-JUL',PARA REVISION
129688,'2022-JUL',MAL REPORTADO EN TC2
129772,'2022-JUL',4 [4-PREDIO - DEMOLIDO O ABAND]
130006,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
130294,'2022-JUL',24 [24-SERV SUSPENDIDO SIN MEDIDO]
130446,'2022-JUL',MAL REPORTADO EN TC2
130468,'2022-JUL',21 [21-MEDIDOR DESCONECT SIN SERV]
130566,'2022-JUL',MAL REPORTADO EN TC2
131692,'2022-JUL',MAL REPORTADO EN TC2
131712,'2022-JUL',SIN DESVIACION SIGNIFICATIVA
131822,'2022-JUL',MAL REPORTADO EN TC2
132914,'2022-JUL',MAL REPORTADO EN TC2
