NUI;year;mes;Value;ValueNum
168060;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
168470;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
168630;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
168812;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
169052;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
169218;2022;JUL;16 [16-MEDIDOR DANADO];16
177452;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
177606;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
177652;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
177686;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
177718;2022;JUL;7 [7-EXTREMADAMENTE ALTO];7
177754;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
177762;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
177860;2022;JUL;7 [7-EXTREMADAMENTE ALTO];7
178214;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
178586;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
178594;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
178616;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
180942;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
181170;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
181256;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
181494;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
181606;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
181690;2022;JUL;18 [18-DISPLAY APAGADO O DESPROGRA];18
181922;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
182044;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
182270;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
182298;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
182344;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
182486;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
182554;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
182596;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
182746;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
183098;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
183132;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
183244;2022;JUL;18 [18-DISPLAY APAGADO O DESPROGRA];18
183462;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
183664;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
183798;2022;JUL;18 [18-DISPLAY APAGADO O DESPROGRA];18
183838;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
183886;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
184322;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
184398;2022;JUL;7 [7-EXTREMADAMENTE ALTO];7
184630;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
184670;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
184706;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
184888;2022;JUL;16 [16-MEDIDOR DANADO];16
184922;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
184994;2022;JUL;18 [18-DISPLAY APAGADO O DESPROGRA];18
185092;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
185170;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
185310;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
185412;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
185414;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
185478;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
185534;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
186768;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
186782;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
190860;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
190976;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
191212;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
192168;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
192254;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
192422;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
197542;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
197546;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
199910;2022;JUL;16 [16-MEDIDOR DANADO];16
199982;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
202042;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
202170;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
203788;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
203852;2022;JUL;16 [16-MEDIDOR DANADO];16
205090;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
205992;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
206610;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
209170;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
209682;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
209890;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
209896;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
210120;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
210318;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
210682;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
210766;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
210792;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
210796;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
210798;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
214420;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
214918;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
215424;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
216446;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
219100;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
219682;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
220096;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
220194;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
221100;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
331450;2022;JUL;16 [16-MEDIDOR DANADO];16
331690;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
332816;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
333812;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
337354;2022;JUL;13 [13-MEDIDOR VOLTEADO O DESCOLG];13
347070;2022;JUL;16 [16-MEDIDOR DANADO];16
347844;2022;JUL;16 [16-MEDIDOR DANADO];16
396692;2022;JUL;16 [16-MEDIDOR DANADO];16
399020;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
399882;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
403548;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
404018;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
405234;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
406970;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
407290;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
411016;2022;JUL;7 [7-EXTREMADAMENTE ALTO];7
414484;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
414486;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
414490;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
414500;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
414522;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
414524;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
414536;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
414540;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
416336;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
416906;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
419688;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
435874;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
443868;2022;JUL;16 [16-MEDIDOR DANADO];16
444634;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
444658;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
444664;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
449496;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
449592;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
449892;2022;JUL;19 [19-REGISTRADOR NO VISIBLE];19
451718;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
453518;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
454984;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
457854;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
457942;2022;JUL;11 [11-MEDIDOR NO REGISTRADO];11
457976;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
462106;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
464216;2022;JUL;21 [21-MEDIDOR DESCONECT SIN SERV];21
466246;2022;JUL;32 [32-NO HAY ACCESO AL MEDIDOR];32
466270;2022;JUL;18 [18-DISPLAY APAGADO O DESPROGRA];18
466298;2022;JUL;10 [10-MEDIDOR INEXISTENTE O DESC];10
